station,time,metar
WARR,2026-02-23 13:29:00.935315,WARR 230600Z 29008KT 9999 FEW020CB 33/24 Q1005 NOSIG
WARR,2026-02-23 13:36:06.853978,WARR 230630Z 25008KT 9999 FEW020CB 33/25 Q1005 NOSIG
WARR,2026-02-23 14:06:31.607182,WARR 230700Z 16008KT 9999 FEW020CB 31/26 Q1005 NOSIG
WARR,2026-02-23 14:39:20.149550,WARR 230730Z 15008KT 9999 FEW020CB 30/25 Q1004 NOSIG
WARR,2026-02-23 21:16:07.037625,WARR 231400Z 26008KT 5000 HZ SCT020 27/24 Q1008 NOSIG
WARR,2026-02-23 22:11:40.051470,WARR 231500Z 27010KT 5000 -RA SCT020 27/23 Q1008 NOSIG
WARR,2026-02-23 22:35:42.736601,WARR 231530Z 25005KT 5000 -RA SCT020 27/23 Q1008 NOSIG
WARR,2026-02-24 04:00:55.878034,WARR 232030Z 29008KT 5000 HZ FEW020 26/24 Q1006 NOSIG
WARR,2026-02-24 04:05:59.206362,WARR 232100Z 29008KT 5000 HZ FEW020 26/24 Q1006 NOSIG
WARR,2026-02-24 09:06:42.320903,WARR 240200Z 28003KT 5000 HZ FEW020 29/25 Q1009 NOSIG
WARR,2026-02-24 09:39:57.640986,WARR 240230Z VRB02KT 7000 FEW020 31/25 Q1009 NOSIG
WARR,2026-02-24 10:07:51.543658,WARR 240300Z 23003KT 8000 FEW020 32/25 Q1009 NOSIG
WARR,2026-02-24 10:38:24.495730,WARR 240330Z 18006KT 8000 FEW020 33/24 Q1009 NOSIG
WARR,2026-02-24 11:05:30.079679,WARR 240400Z 18005KT 8000 FEW020 33/24 Q1008 NOSIG
WARR,2026-02-24 11:53:03.342436,WARR 240430Z 15007KT 8000 FEW020 33/24 Q1008 NOSIG
WARR,2026-02-24 12:21:16.498077,WARR 240500Z 15008KT 9999 FEW020 30/24 Q1008 NOSIG
WARR,2026-02-24 12:38:18.998233,WARR 240530Z 14008KT 9999 FEW020 30/25 Q1007 NOSIG
WARR,2026-02-24 13:20:34.872817,WARR 240600Z 14008KT 9999 FEW020 30/25 Q1007 NOSIG
WARR,2026-02-24 13:51:51.875112,WARR 240630Z 13006KT 9999 FEW020 30/25 Q1007 NOSIG
WARR,2026-02-24 14:10:08.867556,WARR 240700Z 10008KT 9999 FEW020 29/25 Q1006 NOSIG
WARR,2026-02-24 20:27:12.811412,WARR 241300Z 07003KT 8000 FEW020 27/25 Q1009 NOSIG
WARR,2026-02-24 20:40:50.707933,WARR 241330Z VRB02KT 8000 FEW020 28/25 Q1009 NOSIG
WARR,2026-02-24 21:07:02.750378,WARR 241400Z VRB02KT 8000 FEW020 27/25 Q1009 NOSIG
WARR,2026-02-24 21:36:28.330540,WARR 241430Z 33003KT 8000 FEW020 27/25 Q1009 NOSIG
WARR,2026-02-24 22:08:53.684754,WARR 241500Z 30004KT 8000 FEW020 27/25 Q1010 NOSIG
WARR,2026-02-24 22:37:36.132965,WARR 241530Z 28006KT 8000 FEW020 27/25 Q1010 NOSIG
WARR,2026-02-24 23:15:07.268031,WARR 241600Z 20005KT 8000 FEW020 27/25 Q1010 NOSIG
WARR,2026-02-25 05:33:54.205591,WARR 242200Z 33004KT 5000 HZ FEW020 25/23 Q1008 NOSIG
WARR,2026-02-25 06:26:08.128224,WARR 242300Z 30004KT 5000 HZ FEW020 25/23 Q1008 NOSIG
WARR,2026-02-25 06:39:29.067933,WARR 242330Z 29006KT 7000 FEW020 25/23 Q1008 NOSIG
WARR,2026-02-25 08:09:35.672959,WARR 250100Z 30007KT 9999 FEW020 28/23 Q1009 NOSIG
WARR,2026-02-25 09:06:10.758589,WARR 250200Z VRB04KT 9999 FEW020 29/23 Q1009 NOSIG
WARR,2026-02-25 10:38:14.625618,WARR 250330Z 27011KT 9999 FEW020 32/22 Q1008 NOSIG
WARR,2026-02-25 11:05:33.892686,WARR 250400Z 28012KT 9999 FEW020 32/22 Q1008 NOSIG
WARR,2026-02-25 11:35:25.235919,WARR 250430Z 27014G23KT 9999 FEW020 32/22 Q1008 NOS
WARR,2026-02-25 11:35:36.837503,WARR 250430Z 27014G23KT 9999 FEW020 32/22 Q1008 NOSIG
WARR,2026-02-25 12:05:52.554730,WARR 250500Z 28012KT 9999 FEW020 32/23 Q1007 NOSIG
WARR,2026-02-25 12:35:35.758218,WARR 250530Z 27011KT 9999 FEW020 32/22 Q1007 NOSIG
WARR,2026-02-25 13:05:40.374804,WARR 250600Z 26010KT 9999 FEW020 32/23 Q1007 NOSIG
WARR,2026-02-25 13:35:52.498545,WARR 250630Z 28011KT 9999 FEW020 33/23 Q1006 NOSIG
WARR,2026-02-25 14:05:52.649970,WARR 250700Z 26010KT 9999 FEW020 34/24 Q1006 NOSIG
WARR,2026-02-25 14:35:47.548503,WARR 250730Z 26010G20KT 9999 FEW018CB SCT020 33/23 Q1006 NOSIG
WARR,2026-02-25 15:05:44.154007,WARR 250800Z 26011KT 9999 SCT020 33/23 Q1005 NOSIG
WARR,2026-02-26 09:58:19.081012,WARR 260230Z 25007KT 9999 FEW020 28/23 Q1008 NOSIG
WARR,2026-02-26 10:05:58.970277,WARR 260300Z 27005KT 9999 FEW020 29/23 Q1008 NOSIG
WARR,2026-02-26 10:36:54.217171,WARR 260330Z 27005KT 9999 FEW020 30/23 Q1008 NOSIG
WARR,2026-02-26 11:19:09.613691,WARR 260400Z 31006KT 9999 FEW020 31/23 Q1007 NOSIG
WARR,2026-02-26 11:37:32.650424,WARR 260430Z 29008KT 9999 FEW020 32/23 Q1007 NOSIG
WARR,2026-02-26 12:06:01.086769,WARR 260500Z 30008KT 9999 FEW020 32/25 Q1006 NOSIG
WARR,2026-02-26 13:34:44.533198,WARR 260600Z 31009KT 9999 SCT020 32/24 Q1005 NOSIG
WARR,2026-02-26 13:35:26.399273,WARR 260630Z 33007KT 9999 SCT020 32/24 Q1005 NOSIG
WARR,2026-02-26 14:05:40.264754,WARR 260700Z 28012KT 9999 SCT020 33/23 Q1004 NOSIG
WARR,2026-02-26 14:35:55.379708,WARR 260730Z 27011G19KT 9999 SCT020 33/24 Q1004 NOSIG
WARR,2026-02-26 15:14:55.079968,WARR 260800Z 30028G44KT 0100 +TSRA SCT016CB 25/23 Q1004 TEMPO T L0830 2000 +TSRA
WARR,2026-02-26 15:20:01.253696,WARR 260814Z 30007KT 9999 -TSRA SCT020CB 25/23 Q1004 NOSIG
WARR,2026-02-26 16:54:17.044164,WARR 260930Z 30005KT 9999 SCT020 28/25 Q1004 NOSIG
WARR,2026-02-26 17:05:37.114511,WARR 261000Z 30007KT 9999 SCT020 30/25 Q1004 NOSIG
WARR,2026-02-26 17:37:33.977182,WARR 261030Z 29008KT 9999 SCT020 29/25 Q1004 NOSIG
WARR,2026-02-26 18:06:41.618249,WARR 261100Z 28009KT 9999 SCT020 28/24 Q1005 NOSIG
